Nr identyfikacyjny księgarni zatrudnienia,PESEL,Imię,Nazwisko,Data urodzenia,Wykształcenie,Stanowisko,Data przyjęcia,Data zwolnienia
1,84021475850,Everette,Holmes,2/14/1984,podstawowe,sprzedawca,4/7/2008,2/25/2012
1,84103103558,Maud,Walker,10/31/1984,doktor,sprzedawca,11/30/2006,3/2/2013
1,76092854272,Mariam,Morgan,9/28/1976,magister,sprzedawca,9/9/2004,
1,87021229658,Nathanael,Kuhlman,2/12/1987,licencjat,sprzedawca,5/27/2008,
1,79030528372,Angelina,Peterson,3/5/1979,średnie,dyrektor,8/1/1998,
1,66122976359,Chris,Garcia,12/29/1966,profesor,sprzedawca,6/26/1992,9/19/2008
1,63051059797,Jarrett,Upton,5/10/1963,profesor,sprzedawca,3/16/1990,
1,77033019736,Sybil,Hill,3/30/1977,średnie,sprzedawca,7/25/1996,
2,63050107972,Artie,Snyder,5/1/1963,podstawowe,sprzedawca,6/12/1992,2/7/2006
2,67120748555,Frankie,Russel,12/7/1967,inżynier,sprzedawca,8/24/1996,1/17/2009
2,61110310236,Dorie,Morales,11/3/1961,technik,sprzedawca,5/11/2012,10/4/2014
2,76112016196,Clorinda,Kelley,11/20/1976,inżynier,dyrektor,7/17/2002,
2,80020983255,Gregory,Pacocha,2/9/1980,profesor,sprzedawca,3/18/1998,
2,67010600172,Freda,Wehner,1/6/1967,technik,sprzedawca,7/8/1989,
2,69010248215,Lizzette,Dean,1/2/1969,średnie,sprzedawca,3/20/2005,
2,61082929430,Alfonso,Larson,8/29/1961,licencjat,sprzedawca,3/8/1987,
3,70042136555,Karena,Hamilton,4/21/1970,inżynier,sprzedawca,11/22/1988,6/10/2006
3,82011176039,Jeromy,O'Hara,1/11/1982,licencjat,sprzedawca,5/21/2008,4/8/2013
3,82011630692,Fannie,Day,1/16/1982,inżynier,sprzedawca,7/16/2004,1/8/2006
3,69032579216,Gabriele,Hermann,3/25/1969,inżynier,sprzedawca,5/8/2002,10/8/2009
3,74072062356,Claudine,Simmons,7/20/1974,średnie,sprzedawca,12/7/1995,7/16/2004
3,79090399390,Amos,Myers,9/3/1979,licencjat,sprzedawca,8/26/2002,7/11/2005
3,75042620853,So,Koelpin,4/26/1975,profesor,sprzedawca,11/15/2003,
3,67080525432,Aleen,Flores,8/5/1967,technik,sprzedawca,11/28/2011,
3,79082335098,Omega,Sullivan,8/23/1979,średnie,sprzedawca,10/5/2009,
3,77030294435,Donella,Black,3/2/1977,licencjat,sprzedawca,9/30/1995,
3,82062378534,Bernardo,Garrett,6/23/1982,średnie,dyrektor,8/15/2006,
4,71010563593,Karima,Buckridge,1/5/1971,inżynier,sprzedawca,10/16/1990,11/23/2002
4,80061819799,Miquel,Waters,6/18/1980,doktor,sprzedawca,6/4/2006,8/24/2009
4,63081010898,Genaro,Bergnaum,8/10/1963,technik,sprzedawca,8/11/2008,11/5/2011
4,75032842557,Jesusa,Prohaska,3/28/1975,licencjat,sprzedawca,5/31/1997,
4,85042856875,Griselda,McLaughlin,4/28/1985,technik,sprzedawca,12/26/2009,6/8/2014
4,78041408259,Ileen,Ford,4/14/1978,doktor,dyrektor,4/29/1998,
4,81121484595,Anya,Pfeffer,12/14/1981,profesor,sprzedawca,7/1/2001,
4,77051004350,Beckie,Lawrence,5/10/1977,średnie,sprzedawca,3/1/2000,10/26/2010
4,78011214336,Delphia,Herzog,1/12/1978,licencjat,sprzedawca,2/14/2008,
4,84090648719,Collen,Morgan,9/6/1984,profesor,sprzedawca,12/2/2002,
5,78032874139,Lorita,Hilpert,3/28/1978,podstawowe,dyrektor,10/21/1996,
5,76032333335,Elroy,Wintheiser,3/23/1976,inżynier,sprzedawca,8/6/2005,4/6/2011
5,73052916298,Linnie,Day,5/29/1973,doktor,sprzedawca,3/23/1991,
5,77012291674,Bernita,Volkman,1/22/1977,podstawowe,sprzedawca,6/13/1996,7/21/2010
5,67030900670,Whitley,Howard,3/9/1967,magister,sprzedawca,10/9/1992,
5,72102906852,Jenae,Altenwerth,10/29/1972,profesor,sprzedawca,5/9/2010,
5,80101964298,Kathleen,Cruickshank,10/19/1980,doktor,sprzedawca,11/4/2012,
6,69061448459,Remona,Baker,6/14/1969,doktor,sprzedawca,1/30/2011,
6,64111291999,Romeo,Becker,11/12/1964,licencjat,sprzedawca,11/17/2003,
6,66060556051,Margarette,Bowman,6/5/1966,magister,dyrektor,5/25/2002,
6,78092156217,Juliette,Parker,9/21/1978,inżynier,sprzedawca,5/3/2008,7/16/2011
6,74091763090,Marion,Bergstrom,9/17/1974,licencjat,sprzedawca,5/15/1992,
6,66041175536,Tijuana,Moore,4/11/1966,podstawowe,sprzedawca,2/28/2000,
7,82022547077,Beatris,Hessel,2/25/1982,doktor,dyrektor,6/20/2010,
7,66052124073,Reginia,Stark,5/21/1966,podstawowe,sprzedawca,1/17/1992,
7,77102135538,Jeffie,Green,10/21/1977,inżynier,sprzedawca,10/25/2003,
7,85110627455,Patti,Russell,11/6/1985,inżynier,sprzedawca,5/28/2010,10/30/2013
7,76100159359,Aliza,Willms,10/1/1976,doktor,sprzedawca,7/11/2010,7/14/2013
7,69071755673,Renae,Beer,7/17/1969,profesor,sprzedawca,8/16/2010,
7,88031770770,Larae,Hunter,3/17/1988,średnie,sprzedawca,9/10/2007,
8,66120343715,Scot,D'Amore,12/3/1966,doktor,sprzedawca,12/7/2002,12/14/2006
8,88032091531,Julieta,Kunze,3/20/1988,doktor,sprzedawca,1/28/2007,
8,72080925090,Dario,Littel,8/9/1972,magister,dyrektor,7/18/1994,
8,90030679578,Emilia,Witting,3/6/1990,inżynier,sprzedawca,10/28/2012,
8,85070373533,Vern,Ford,7/3/1985,profesor,sprzedawca,5/27/2004,
8,87030127156,Oren,Cronin,3/1/1987,średnie,sprzedawca,2/14/2012,
9,68010374531,Carlita,Nichols,1/3/1968,doktor,sprzedawca,10/30/1989,12/29/1993
9,86091635310,Wanda,Donnelly,9/16/1986,średnie,sprzedawca,2/14/2009,
9,76062249996,Damion,Boyer,6/22/1976,podstawowe,sprzedawca,7/25/2007,
9,68092744857,Rusty,Herman,9/27/1968,średnie,dyrektor,5/10/1987,
9,83051255733,Patrica,Lemke,5/12/1983,średnie,sprzedawca,1/16/2002,
9,64060207496,Hisako,Hanson,6/2/1964,magister,sprzedawca,4/10/2000,
10,62110949035,Maris,Gutkowski,11/9/1962,technik,sprzedawca,2/17/1983,1/23/1997
10,75032906839,Elvira,Burke,3/29/1975,inżynier,sprzedawca,12/25/1995,
10,80113097555,Kaci,Mertz,11/30/1980,profesor,sprzedawca,5/12/2002,12/14/2013
10,87040109610,Dorcas,Langworth,4/1/1987,podstawowe,sprzedawca,3/24/2008,4/1/2013
10,70040810554,Irvin,Boehm,4/8/1970,profesor,sprzedawca,11/15/1992,7/16/2011
10,83020752511,Rossie,Cummings,2/7/1983,inżynier,dyrektor,6/9/2005,
10,74110480432,Trula,Altenwerth,11/4/1974,profesor,sprzedawca,12/20/1996,
10,72042209710,Jenifer,Reid,4/22/1972,technik,sprzedawca,7/19/2011,
11,88021733978,Youlanda,Gray,2/17/1988,inżynier,sprzedawca,10/31/2007,
11,68033040031,Bethann,Stracke,3/30/1968,profesor,sprzedawca,11/7/1995,10/10/2008
11,77060703671,Wallace,Schuppe,6/7/1977,licencjat,dyrektor,5/18/2011,
11,72052481858,Ela,Reynolds,5/24/1972,licencjat,sprzedawca,10/21/1998,5/31/2005
11,68122894473,Marge,Abernathy,12/28/1968,doktor,sprzedawca,6/24/2010,
11,63082972678,Marianela,Torphy,8/29/1963,licencjat,sprzedawca,3/10/2000,
11,67123091711,Cinderella,Lee,12/30/1967,magister,sprzedawca,12/28/1985,
12,76112442519,Flo,Bartoletti,11/24/1976,podstawowe,sprzedawca,11/27/1999,7/30/2001
12,84010763153,Ermelinda,Christiansen,1/7/1984,średnie,sprzedawca,11/27/2010,5/1/2013
12,82072696974,Doria,Kessler,7/26/1982,doktor,sprzedawca,12/24/2006,
12,64011498997,Tamara,Bins,1/14/1964,inżynier,sprzedawca,12/24/2007,7/13/2012
12,63042726211,Anne,Fadel,4/27/1963,doktor,sprzedawca,8/18/2002,1/26/2011
12,74010803771,Violette,Auer,1/8/1974,średnie,sprzedawca,1/27/2001,
12,75042054014,Carmel,Kirlin,4/20/1975,średnie,sprzedawca,12/31/2006,
12,88050620016,Therese,Kilback,5/6/1988,magister,dyrektor,3/3/2007,
12,66032924251,Minna,Hilll,3/29/1966,licencjat,sprzedawca,4/22/2009,
13,65052388317,Juliann,Schuster,5/23/1965,doktor,dyrektor,3/17/2001,
13,90122776213,Torie,Baumbach,12/27/1990,podstawowe,sprzedawca,12/12/2008,6/28/2013
13,66120435513,Tamara,Crooks,12/4/1966,profesor,sprzedawca,7/22/2004,
13,61110731156,Ramiro,Hammes,11/7/1961,magister,sprzedawca,5/13/2008,
13,84062072814,Cecille,Runolfsdottir,6/20/1984,podstawowe,sprzedawca,2/8/2005,8/20/2010
13,63100819639,Faith,Bell,10/8/1963,średnie,sprzedawca,9/26/1992,
13,79031603759,Monroe,Burke,3/16/1979,doktor,sprzedawca,5/4/1999,2/12/2007
13,83011541832,Mariann,Donnelly,1/15/1983,licencjat,sprzedawca,5/2/2004,3/10/2006
13,89050780957,Saul,Carroll,5/7/1989,doktor,sprzedawca,4/17/2012,
14,72092835552,Dot,Snyder,9/28/1972,średnie,sprzedawca,4/26/2006,
14,67121498893,Tyisha,Wehner,12/14/1967,profesor,sprzedawca,3/27/1988,
14,82072613472,Serafina,Bishop,7/26/1982,licencjat,sprzedawca,4/3/2000,
14,82091595252,Evelina,Pouros,9/15/1982,średnie,sprzedawca,4/24/2009,9/19/2013
14,69022025778,Brandy,Hammes,2/20/1969,profesor,sprzedawca,1/12/1997,
14,61072309950,Dalene,Nienow,7/23/1961,technik,dyrektor,11/8/2005,
15,87102618652,Heather,Clark,10/26/1987,średnie,dyrektor,4/13/2009,
15,73070911914,Louetta,Bishop,7/9/1973,podstawowe,sprzedawca,2/24/2012,
15,88032686078,Lynna,Ferry,3/26/1988,podstawowe,sprzedawca,10/7/2011,10/23/2014
